sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
0	0	0	0	16	0	10	0	0	0	0	21	43	0	0	29	0	0	1	16	0	40	33	0	1	0	0	87	0	31	0	57	0	0	2	0	14	0	0	14	0	0	0	0	83	65	15	0	51	0	8	0	3	65	0	76	57	0	0	0	142	0	0	112	0	0	208	148	0	16	17	35	0	9	37	0	64	70	47	20
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	101	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	196	0	135	0	0	0	0	0	8	0	0	0	0	0	3	1	0
109	0	0	0	0	0	0	0	0	37	0	0	0	0	29	0	0	0	0	10	0	8	0	19	0	7	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	21	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	105	0	0	0	0	45	0	0	70	0	0	0	0	16
37	30	0	6	0	0	9	0	0	0	15	2	0	0	14	0	0	0	0	22	0	17	126	0	0	0	0	0	0	27	0	0	0	10	23	0	0	0	0	0	0	0	0	0	72	5	0	16	0	0	0	0	0	9	0	82	10	0	0	8	0	0	0	0	43	37	0	35	0	21	0	15	0	0	0	0	24	13	0	15
0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	25	0	0	0	0	48	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	33	0	0	0	0	0	0	0	0	7	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	17	0	131	0	0	0	0	0	0	0	0	0	0	0	8	1	0	53	0	1	0	183	203	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	87	0	0	0	10	1	0	0	0	185	0	0	1	0	0
91	22	55	282	0	0	0	0	0	51	0	5	34	0	0	199	0	41	0	69	0	0	172	18	80	31	0	91	52	7	18	46	0	15	90	134	0	0	0	15	70	0	13	82	101	38	29	169	0	0	0	61	0	32	108	91	12	0	0	0	161	0	0	31	274	0	0	0	6	0	0	11	0	0	0	0	0	18	89	86
50	6	0	127	35	0	0	0	0	0	56	14	0	0	0	48	0	59	0	0	107	0	44	165	42	0	0	231	0	0	29	0	0	0	4	197	12	9	0	0	66	0	9	0	0	0	0	0	22	8	0	61	0	24	27	102	0	0	5	33	0	0	0	0	50	0	62	105	0	43	0	0	0	33	0	0	35	0	0	109
127	0	0	0	0	32	0	1	0	4	142	0	0	0	0	0	0	216	0	25	78	2	167	95	145	0	31	146	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	1	0	0	23	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	19	0	0	0	83	0	0	0	19	0	0	0	0	0	0	35	0	0	0	0	0	0	50	0	0	0	0	0	0
20	0	93	0	0	0	0	0	0	225	0	0	0	0	0	140	0	0	0	120	0	0	0	0	89	0	95	221	0	0	0	139	0	0	0	94	79	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	197	0	0	0	110	0	48	347	0	190	0	0	0	0	0	0	0	79	52	0
24	0	0	4	0	9	0	0	0	0	0	0	62	0	0	57	0	0	0	0	36	49	0	0	0	0	24	0	0	23	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	9	0	12	0	0	0	0	0	0	0	0	0
0	0	48	168	0	0	0	0	0	0	35	0	0	0	0	0	0	14	10	0	216	45	85	0	0	28	0	113	54	0	0	22	0	64	0	0	0	0	0	0	68	0	0	0	0	0	0	0	61	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	164	0	52	421	1	0	0	0	2	0	0	0	27	136	235	170
26	0	0	0	0	0	0	0	0	16	52	22	12	0	34	0	0	163	22	0	0	0	142	0	27	0	78	32	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	63	0	0	12	0	0	6	0	0	0	0	0	0	27	0	20	0	56	64	0	0	0	0	0	0	21	0	67	7	0	7	97	0	59
0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	88	15	0	0	0	0	0	0	0	0	0	0	0	0	0
23	59	0	104	0	13	0	0	0	37	0	0	7	1	0	0	0	93	0	0	45	47	0	0	108	0	0	0	17	0	0	0	0	0	0	58	0	0	0	4	28	0	0	0	53	0	0	0	32	0	0	0	0	0	11	102	0	0	3	17	23	27	0	0	59	0	0	200	14	0	0	0	0	29	0	9	4	31	21	46
0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	2	6	2	0	1	0	0	0	1	0	0	0	0	2	0
55	0	0	256	21	97	0	0	0	0	115	0	0	0	133	201	0	82	77	65	21	7	470	58	0	10	212	132	0	10	30	0	0	0	0	0	113	100	0	0	0	0	0	29	61	31	15	307	82	0	0	0	0	64	0	256	43	0	0	93	0	0	0	0	242	198	130	453	20	291	12	69	0	0	34	0	6	240	0	220
30	0	0	24	0	0	0	0	0	55	102	0	0	0	0	0	0	60	0	0	0	63	0	0	0	0	0	103	25	0	0	0	0	0	0	29	0	0	0	25	0	0	0	0	140	6	0	0	0	0	0	0	0	0	12	104	0	0	0	0	0	0	0	31	71	64	105	134	0	0	0	0	1	0	29	0	0	0	65	55
25	0	0	30	10	0	0	0	0	0	0	0	36	0	0	32	0	22	0	38	0	0	22	0	0	6	21	99	6	0	0	26	0	0	16	40	0	0	0	0	0	0	0	0	71	10	0	0	0	0	0	52	0	18	0	39	0	0	5	0	35	10	0	25	0	25	0	99	0	59	0	0	0	0	50	5	0	33	0	0
0	81	0	8	0	0	0	4	0	355	201	7	0	0	9	0	41	0	0	27	24	0	0	146	152	0	0	21	96	120	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	27	0	0	0	0	0	389	0	12	0	92	242	0	0	0	17	0	0	0	0	0	0	0	100	0	0
0	0	5	3	0	0	0	0	0	12	0	11	0	0	0	252	0	0	0	0	0	467	0	17	37	0	74	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	188	0	0	102	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	228	0	3	44	0	0	0	0	0	5	12	0	0	89	0	0
0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	33	48	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	70	0	0	0	0	0	0	69	0	0	0	0	25
0	12	0	0	0	0	0	74	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	63	90	0	0	0	0	0	3	0	0	75	0	0	0	12	0	9	0	0	6	0	0	0	0	84	1	0	0	0	0	4	5	1	260	0	0	0	0	0	0	0	4	0	0
0	0	45	0	13	54	0	0	0	33	45	0	0	0	0	0	0	0	0	0	52	22	126	0	133	11	13	0	12	0	22	27	0	0	12	186	191	0	0	0	50	0	0	0	18	0	0	86	0	0	0	23	0	0	0	41	0	0	0	30	0	0	0	50	2	0	0	0	0	296	0	69	0	22	0	0	0	396	0	233
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	47	0	0	0	0	2	0	0	53	0	0	2	62	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	53	0	0	0	0	0
8	0	0	118	0	7	0	0	0	7	126	12	9	0	27	34	14	288	59	0	71	0	0	33	17	0	7	149	24	0	5	0	1	41	49	47	54	12	0	24	58	0	8	0	40	0	0	66	0	0	17	57	0	4	71	314	0	2	0	0	107	0	0	0	37	0	230	90	17	123	12	27	0	19	48	0	0	30	28	70
0	24	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	0	7	15	0	17	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	28	0	0	0	0	0	21	0	0	0	97	92	0	0	23	5	70
0	0	4	211	0	0	0	0	0	50	148	8	0	0	0	179	0	4	3	0	0	0	0	166	14	0	0	0	12	35	0	0	0	0	0	209	41	0	0	0	0	0	0	0	0	55	64	0	0	13	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	102	6	0	0	0	32	0	0	1	0	2
0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	156	52	0	0	133	0	0	0	10	0	25	0	0	75	63	0	215	132	0	0	40	53	119	184	0	124	18	152	17	14	24	0	65	0	98	49	82	0	11	46	0	0	14	79	38	0	0	0	0	0	39	0	0	68	340	0	5	0	0	173	66	0	70	15	160	63	366	12	132	0	0	0	0	0	0	0	12	58	0
0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	0	0	47	0	0	0	0	0	133	47	34	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
0	0	0	0	0	8	0	0	0	212	0	0	0	0	0	41	0	0	0	0	130	154	75	0	0	20	0	0	0	0	0	0	0	0	0	0	43	0	0	1	47	5	0	0	21	0	0	86	0	0	0	2	0	0	45	141	0	0	4	4	1	0	0	21	11	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0
92	0	36	80	27	0	0	2	0	0	49	0	0	0	44	0	0	51	0	0	0	0	0	0	95	0	0	26	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	18	0	0	0	31	0	19	0	0	0	27	3	0	0	68	83	0	0	0	0	0	0	0	79	0	0	0	0	118	0
0	0	0	0	13	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	1	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	56	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
52	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	27	5	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	16	0	0	0	22	0	0	0	0	0	0	0	10	29	107	143	171	0	0	0	0	0	0	73	0	0	0	0	0
42	42	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	18	0	0	0	0	6	176	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	68	32	0	8	7	0	0	0	81	0	0	37	0	0	0	0	197	5	0	0	0	177	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	46
40	26	71	0	0	0	5	34	0	0	196	72	0	5	0	184	67	92	36	26	65	0	176	0	71	22	51	136	27	10	9	61	0	13	34	0	72	32	0	26	94	0	10	37	105	47	0	64	67	0	68	70	50	15	1	80	51	0	0	0	232	0	0	0	129	289	449	66	12	75	13	19	19	21	49	0	0	88	160	137
37	0	57	51	0	169	13	0	0	256	72	10	0	0	14	174	0	0	0	0	139	0	0	31	75	0	0	55	141	15	2	20	0	0	22	56	0	0	0	0	0	0	78	0	271	36	32	0	8	0	0	69	0	0	22	228	0	0	0	42	55	0	0	0	228	48	93	438	0	0	0	0	0	21	326	0	50	218	160	13
71	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	18	0	19	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	36	25	0	0	5	15	0	0	0	43	21	0	0	0	17	0	41	0	11	4	0	0	0	0	0	117	0	0	0	0	0	120	0	0	12	13	0	0	48	0	20	0	68	0	0
0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	91	2	0	20	0	0	0	0	0	0	0	0	30	0	0	0	34	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	10	0	0	0	0	0	0	0	117	0	0	0	18	76	0	0	23	0	44	0	67	1	0	37	0	0	0	52	0	0	0	0	0
0	67	0	35	0	0	0	0	0	266	0	0	0	0	0	0	0	85	0	0	40	0	2	207	0	0	0	0	131	5	0	39	0	0	0	0	0	2	0	8	2	0	0	0	622	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	52	0	0	0	37	0	0	0	0	30	70	6	11	235	0	213
1	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	137	0	0
0	0	0	35	22	0	0	0	0	0	73	0	0	3	29	0	0	0	0	0	0	0	52	36	52	0	0	0	19	22	5	53	0	0	9	44	0	0	0	0	50	0	0	9	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	32	73	0	0	0	0	0	26	0	0	0	41	0	0
0	0	0	3	0	0	3	4	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	4	0	12	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	8	0	0	0	6	0	32	0	0	0	0	0	0	0	0	0	0	4	0	0
13	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	212	0	0	0	6	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	77	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
0	0	0	0	0	0	0	0	0	0	65	0	39	0	0	115	0	0	27	0	0	0	20	0	240	0	179	27	0	0	0	32	0	0	0	84	17	0	0	7	26	0	0	16	61	0	6	0	22	0	0	9	0	1	1	157	0	0	0	47	171	13	0	0	37	58	0	45	0	64	0	20	0	0	0	0	11	0	159	130
53	0	0	91	0	0	0	0	0	45	150	33	0	0	0	0	0	0	0	29	0	73	19	0	234	0	115	40	17	0	0	0	0	0	0	221	36	0	0	0	0	0	0	0	31	42	0	0	0	0	0	0	8	0	0	0	0	0	0	10	478	5	0	7	0	0	265	278	0	0	0	0	0	0	0	0	0	30	0	139
66	0	0	39	0	0	0	0	0	45	0	0	30	0	0	19	0	35	22	0	0	0	38	0	0	8	0	55	0	12	0	0	0	0	0	66	0	0	0	0	46	0	0	11	0	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0	67	0	0	0	0	49	73	0	14	53	0	0	0	41	0	7	0	55	31	0
0	0	1	38	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	35	0	131	23	20	0	0	0	27	104	0	46	0	21	18	9	0	0	172	217	58	127	41	490	0	118	178	111	48	13	0	0	0	25	162	62	0	0	0	125	0	51	0	18	0	0	98	0	2	0	140	0	0	0	216	0	0	0	0	140	52	0	98	219	114	125	142	0	0	0	69	0	9	68	56	73	74	347	40
63	0	0	309	0	46	0	0	0	12	0	0	2	0	0	113	0	0	0	50	0	0	117	2	69	0	44	36	2	6	0	55	0	0	8	181	25	3	0	0	573	0	27	1	0	0	0	7	0	0	0	66	0	0	0	47	0	0	0	149	27	50	0	0	313	46	22	0	0	13	31	0	0	0	0	0	0	506	174	1
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	317	0	6	0	0	0	0	121	0	0	0	0	113	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0
35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	17	0	0	48	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
114	5	52	0	0	0	0	0	0	227	64	0	0	16	0	58	0	67	44	255	0	0	0	389	0	0	260	453	26	0	25	0	0	0	0	0	0	0	0	0	22	0	0	20	34	0	0	19	6	0	0	41	0	0	7	0	0	0	0	18	12	0	0	17	30	26	20	0	4	0	0	0	0	0	12	5	0	46	0	0
85	83	84	204	0	0	0	0	0	62	72	6	79	0	30	163	32	126	50	146	0	27	89	149	96	48	63	109	105	83	0	100	0	0	39	202	121	21	0	9	57	0	18	42	290	38	65	193	82	14	0	41	38	0	29	121	35	0	0	50	125	13	23	87	121	88	0	112	37	48	0	0	0	64	174	0	40	40	138	139
0	0	0	0	0	0	0	0	0	0	68	0	0	0	84	0	0	0	0	0	60	0	11	0	0	0	0	132	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	19	0	0	0	0	0	114	0	0	0	0	81	15	0	0	0	0
187	0	0	189	37	0	0	22	0	0	40	26	0	0	0	0	0	0	0	102	0	0	0	0	0	41	113	0	0	0	0	0	0	0	0	143	0	0	0	0	122	0	0	0	190	0	0	0	57	0	0	70	0	0	0	0	0	0	0	0	0	0	0	70	313	0	197	0	0	0	0	0	0	0	144	0	0	0	0	153
